BGGId,Name,Year,Weight,AvgRating,MinPlayers,MaxPlayers,NumRatings,Kickstarted,Rank,Category
162677,1893: Cologne,2014,3.3333,7.33857,2,4,70,0,8518,Thematic
162680,War of the Worlds,2014,2.1429,6.74054,1,2,37,0,13219,War
162727,Victory through Industry,2014,2.2857,6.21979,2,6,48,0,15090,Thematic
162738,Light Rail,2014,1.3077,6.318,2,4,200,0,8329,Thematic
162777,Doppelgänger,2018,3.0,6.58872,4,8,78,0,12044,Thematic
162823,El Gaucho,2014,2.2386,6.80863,2,4,1664,0,1928,Strategy
162865,"I, Spy",2015,3.1379,7.23384,2,4,250,1,4892,Strategy
162886,Spirit Island,2017,4.0262,8.3583,1,4,31411,1,11,Strategy
162888,Phoenix Covenant,2017,3.75,7.61395,2,4,43,1,14752,Thematic
162915,8 the Liar,2014,1.0,4.77105,2,8,38,0,19330,Thematic
162944,Ultimate Werewolf: Deluxe Edition For Kickstarter,2014,1.5,7.66099,5,75,91,1,21926,Thematic
162974,Chroma Cubes,2014,1.5,6.71694,2,5,36,0,14000,Thematic
163027,Loop Inc.,2015,2.5,6.38554,2,4,512,1,4913,Thematic
163031,Cartography,2015,2.0,6.18602,2,4,88,1,14316,Abstract
163040,Det dårlige selskab,2014,1.3333,6.40811,3,16,111,0,10188,Thematic
163047,Yomi: Round 1,2014,2.7143,7.19213,1,4,164,1,6006,Thematic
163048,Yomi: Round 2,2014,3.0,7.90513,1,4,78,1,7109,Thematic
163056,Musée,2014,1.1724,6.80988,2,4,427,1,4173,Family
163062,Mare Nostrum: War in the Mediterranean,2015,3.5,6.7551,2,3,49,0,13093,War
163068,Trickerion: Legends of Illusion,2015,4.2179,7.93155,2,4,7609,1,117,Strategy
163081,Galaxy of Trian,2014,2.55,6.47013,2,4,487,1,5242,Strategy
163097,Beyond the Rhine: The Campaign for Northwest Europe,2015,4.4286,8.44386,2,0,163,0,4962,War
163099,V-Wars,2015,3.0,6.20489,3,5,92,0,11988,Thematic
163105,Alhambra: Big Box Special Edition,2014,2.0,7.44908,2,6,142,1,21926,Thematic
163119,Pocket Dungeon Quest,2015,1.2,5.79618,1,4,157,1,16965,Thematic
163144,Scheffeln,2014,1.6667,5.82368,2,8,76,1,15453,Thematic
163154,Falling Sky: The Gallic Revolt Against Caesar,2016,4.0,7.89101,1,4,1499,0,922,War
163163,Grand Prix,2016,2.3158,7.2303,2,11,403,0,3718,Thematic
163166,One Night Ultimate Werewolf: Daybreak,2015,1.4158,7.35576,3,7,5163,1,541,Party
163170,Firefly: Shiny Dice,2015,1.85,5.46358,1,5,608,0,19392,Thematic
163172,Waterloo 1815: Fallen Eagles,2015,2.963,8.25348,1,3,187,0,4590,War
163175,Yashima: Legend of the Kami Masters,2015,2.6875,6.99585,2,4,241,1,5690,Thematic
163186,Ray Master,2016,2.2,6.23333,1,2,83,0,12331,Thematic
163242,CHEW: Cases of the FDA,2015,1.4286,5.79439,2,5,104,0,17166,Thematic
163255,Reconquista,2014,2.5,7.37843,1,1,51,0,10092,War
163263,Sea Kings,2015,1.125,5.39605,2,6,38,1,18388,Thematic
163277,Cardline: Dinosaurs,2014,1.1667,6.05755,2,8,479,0,6733,Family
163310,Supermarché,2014,2.1667,7.22029,1,1,139,0,7206,Thematic
163319,"Gallipoli, 1915: Churchill's Greatest Gamble",2018,3.8,7.71633,2,4,49,0,10737,War
163354,Cypher,2014,1.5,5.92845,2,4,664,0,6842,Family
163370,Carcassonne: Gold Rush,2014,1.9444,7.16322,2,5,1466,0,1573,Strategy
163377,Rolling Japan,2014,1.5385,6.25492,1,99,528,0,5288,Thematic
163399,Infinity: Operation Icestorm,2014,3.5,8.37094,2,2,117,0,5362,Thematic
163412,Patchwork,2014,1.6252,7.64333,2,2,51443,0,94,Family
163413,Murano,2014,2.7273,7.20297,2,4,2031,0,1187,Strategy
163432,Tides of Infamy,2015,2.3,6.97342,2,4,158,1,7814,Thematic
163474,V-Sabotage,2016,2.7736,7.76526,1,4,1353,1,1260,Thematic
163478,Lunte,2014,1.0,5.84574,3,6,94,0,16529,Thematic
163481,Takamatsu,2014,1.6667,6.19504,2,5,111,0,11046,Thematic
163482,15 Dias: The Spanish Golden Age,2014,2.875,6.45393,2,8,107,0,10532,Thematic
